id,color,x1,y1,x2,y2
0,"(0.5098039215686274, 0.6823529411764706, 0.9098039215686274)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
1,"(0.9686274509803922, 0.00784313725490196, 0.5568627450980392)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
2,"(0.4823529411764706, 0.6980392156862745, 0.7137254901960784)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
3,"(0.25098039215686274, 0.14901960784313725, 0.07450980392156863)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
4,"(0.7019607843137254, 0.13725490196078433, 0.37254901960784315)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
5,"(0.6705882352941176, 0.9725490196078431, 0.615686274509804)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
6,"(0.2549019607843137, 0.09803921568627451, 0.9333333333333333)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
7,"(0.403921568627451, 0.9372549019607843, 0.3411764705882353)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
8,"(0.3764705882352941, 0.396078431372549, 0.5098039215686274)",321.2674560546875,3279.107421875,321.2674560546875,3279.107421875
9,"(0.00392156862745098, 0.49411764705882355, 0.33725490196078434)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
10,"(0.14901960784313725, 0.9803921568627451, 0.24313725490196078)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
11,"(0.592156862745098, 0.9176470588235294, 0.7137254901960784)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
12,"(0.5568627450980392, 0.8549019607843137, 0.08235294117647059)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
13,"(1.0, 0.3803921568627451, 0.8235294117647058)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
14,"(0.3176470588235294, 0.2784313725490196, 0.16470588235294117)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
15,"(0.6, 0.25098039215686274, 0.6666666666666666)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
16,"(0.07450980392156863, 0.788235294117647, 0.8666666666666667)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
17,"(0.6509803921568628, 0.9450980392156862, 0.5450980392156862)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
18,"(0.4745098039215686, 0.43137254901960786, 0.788235294117647)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
19,"(0.807843137254902, 0.6196078431372549, 0.1843137254901961)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
20,"(0.9607843137254902, 0.5568627450980392, 0.5294117647058824)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
21,"(0.6823529411764706, 0.38823529411764707, 0.25098039215686274)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
22,"(0.7333333333333333, 0.9176470588235294, 0.7764705882352941)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
23,"(0.5803921568627451, 0.49411764705882355, 0.6039215686274509)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
24,"(0.596078431372549, 0.1607843137254902, 0.3215686274509804)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
25,"(0.9803921568627451, 0.9058823529411765, 0.6627450980392157)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
26,"(0.49019607843137253, 0.21568627450980393, 0.6392156862745098)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
27,"(0.403921568627451, 0.18823529411764706, 0.00392156862745098)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
28,"(0.30980392156862746, 0.35294117647058826, 0.10980392156862745)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
29,"(0.27450980392156865, 0.5137254901960784, 0.4117647058823529)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
30,"(0.41568627450980394, 0.8549019607843137, 0.2196078431372549)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
31,"(0.047058823529411764, 0.14901960784313725, 0.592156862745098)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
32,"(0.28627450980392155, 0.8235294117647058, 0.14901960784313725)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
33,"(0.01568627450980392, 0.7568627450980392, 0.6392156862745098)",865.5308837890625,1627.2783203125,865.5308837890625,1627.2783203125
34,"(0.8431372549019608, 0.050980392156862744, 0.6196078431372549)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
35,"(0.6901960784313725, 0.6549019607843137, 0.8)",1181.92822265625,1902.97119140625,1181.92822265625,1902.97119140625
